species,geo_mean_sla,arth_mean_sla,n
Acer macrophyllum,294.00000008849213,295.4804732809998,4
Adenostoma fasciculatum,57.142028491543165,57.68407735157128,17
Alnus rhombifolia,271.3277572617841,287.6674493186272,6
Amelanchier utahensis,98.84221496584803,100.22422948692994,2
Arbutus menziesii,81.29869619059473,83.45616868020309,8
Artemisia californica,107.2464898221758,109.4309356532655,15
Baccharis pilularis,118.88174263046375,125.84884577875769,31
Ceanothus cuneatus var. cuneatus,43.56616963401144,43.976887173582554,18
Ceanothus oliganthus var. sorediatus,76.41915159134699,78.0001359700561,4
Cercocarpus betuloides var. betuloides,69.89842427628359,70.52449149643839,10
Cornus glabrata,244.3749855753593,246.46540033382,2
Cornus sericea ssp. sericea,198.34335532034538,235.3008425302699,8
Corylus cornuta var. californica,300.8853401829311,302.320238747681,2
Cotoneaster pannosa,107.94595790488286,112.32285184180304,7
Crataegus monogyna,142.05395580091172,142.1133430653975,2
Dirca occidentalis,227.10740282680567,234.24961476018385,19
Eriodictyon californicum,47.48573386725263,47.67460249322545,4
Eriophyllum confertiflorum var. confertiflorum,132.2626183308093,133.70844006461675,4
Euonymus occidentalis var. occidentalis,269.50539346302116,269.5106582047325,2
Genista monspessulana,373.7112653150644,387.6787603946198,5
Hedera helix,260.14707575227595,266.7308803495766,7
Heteromeles arbutifolia,59.63459184424193,61.40974052828048,29
Holodiscus discolor,301.7309448117825,308.5673799744097,6
Lepechinia calycina,122.33467590524525,124.84253777954072,12
Ligustrum ovalifolium,247.03965485588395,247.039654855884,1
Ligustrum sp.,79.74415997424067,83.2533645879,3
Lonicera hispidula var. vacillans,154.66564809022518,164.2377365227575,38
Mimulus aurantiacus,67.95045202945745,74.23447555555943,24
Myrtus sp.,78.23989315139,78.2773193094317,2
Oemleria cerasiformis,168.50888241608862,177.94801662954185,7
Populus balsamifera ssp. trichocarpa,174.72400957055018,176.9596060297705,2
Prunus ilicifolia ssp. ilicifolia,69.193124303402,70.43426713556883,24
Prunus sp.,169.92525176704598,172.25534233175927,4
Pseudotsuga menziesii var. menziesii,127.50870276470383,127.965572063189,2
Quercus agrifolia  var. agrifolia,60.9927667006684,63.674951671072805,38
Quercus douglasii,74.9061200177828,76.0860150011623,10
Quercus durata var. durata,70.37635018817913,72.71437973511897,10
Quercus kelloggii,107.62225183232178,111.89626849664866,10
Quercus lobata,109.07640769375372,112.67958001780099,10
Rhamnus californica ssp. californica,136.25891563885102,140.90589128152757,12
Rhamnus crocea,93.31038034326318,96.96818082460433,29
Ribes californicum var. californicum,215.09724946645946,231.36103021859708,26
Ribes divaricatum var. pubiflorum,312.1951755440956,322.79217213037043,7
Ribes malvaceum var. malvaceum,203.93016646366203,203.930166463662,1
Ribes menziesii,307.0189935157593,321.57803156482265,6
Ribes sanguineum var. glutinosum,300.80191797573997,342.645652938885,11
Rubus parviflorus,418.1620192768948,442.44908109043683,7
Rubus ursinus,289.17900441220775,289.19878276994655,2
Salix exigua,123.68701929403115,130.20629436573145,2
Salix lasiolepis,128.51415918553528,128.725420437055,2
Salix lucida ssp. lasiandra,192.96892497131452,204.024727164325,13
Sambucus mexicana,98.44822590235957,99.50929043511003,3
Sequoia sempervirens,110.11446100780141,110.188535151082,2
Solanum americanum,767.0086069838051,767.132135030734,2
Solanum umbelliferum,157.13785623429882,158.64904719973399,7
Symphoricarpos albus var. laevigatus,327.20553239929563,363.43930507209114,21
Symphoricarpos mollis,341.83328000426667,363.1837633200343,26
Umbellularia californica,108.03396704556633,109.08174876899469,28
